new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand
14516,12948,375,286.266,10.519,9.383,0.272,6616496,189869,4.795,0.138,158473,0.115
15413,13254,306,297.435,11.169,9.604,0.222,6807226,190730,4.933,0.138,164087,0.119
14821,13699,445,308.174,10.74,9.927,0.322,6950493,143267,5.037,0.104,168051,0.122
14933,14011,312,318.995,10.821,10.153,0.226,7137716,187223,5.172,0.136,173807,0.126
15968,14476,465,330.566,11.571,10.49,0.337,7352911,215195,5.328,0.156,181236,0.131
16922,14894,418,342.829,12.262,10.793,0.303,7560782,207871,5.479,0.151,187302,0.136
17296,15301,407,355.362,12.533,11.088,0.295,7776228,215446,5.635,0.156,192800,0.14
18552,15685,384,368.805,13.443,11.366,0.278,7996707,220479,5.795,0.16,197173,0.143
19906,16095,410,383.23,14.425,11.663,0.297,8227802,231095,5.962,0.167,202939,0.147
19459,16475,380,397.331,14.101,11.938,0.275,8398362,170560,6.086,0.124,206838,0.15
18522,16893,418,410.752,13.422,12.241,0.303,,,,,,
